FreeSurfer;BIRN_Title;NN_ID;NN_String;Abbreviation;Latin
wm-rh-inferiortemporal;Inferior temporal gyrus;120;inferior temporal gyrus;ITG;Gyrus temporalis inferior
wm-rh-lateraloccipital;Lateral occipital cortex;137;lateral occipital gyrus (H);LOG;Gyrus occipitalis lateralis (H)
wm-rh-lingual;Lingual gyrus;140;lingual gyrus;LiG;Gyrus lingualis
wm-rh-medialorbitofrontal;Medial orbital frontal cortex;37;FRONTAL LOBE;FL;Lobus frontalis
wm-rh-middletemporal;Middle temporal gyrus;119;middle temporal gyrus;MTG;Gyrus temporalis medius
wm-rh-parahippocampal;Parahippocampal gyrus;146;PARAHIPPOCAMPAL GYRUS;PHG;Gyrus parahippocampalis
wm-rh-paracentral;Paracentral sulcus;51;paracentral sulcus (H);pcs;Sulcus paracentralis (H)
wm-rh-parsopercularis;Frontal operculum;39;frontal operculum;fro;Operculum frontale
wm-rh-parsorbitalis;Orbital operculum;40;orbital operculum;oro;Operculum orbitale
wm-rh-parstriangularis;Triangular part of inferior frontal gyrus;68;triangular part of inferior frontal gyrus (H);TrIFG;Gyrus frontalis inferior, pars triangularis (H)
wm-rh-postcentral;Postcentral gyrus;87;postcentral gyrus;PoG;Gyrus postcentralis
wm-rh-precentral;Precentral gyrus;71;precentral gyrus;PrG;Gyrus precentralis
wm-rh-precuneus;Precuneus cortex;92;precuneus;PCu;Precuneus
wm-rh-superiorfrontal;Superior frontal gyrus;65;superior frontal gyrus;SFG;Gyrus frontalis superior
wm-rh-superiorparietal;Superior parietal cortex;88;superior parietal lobule;SPL;Lobulus parietalis superior
wm-rh-superiortemporal;Superior temporal gyrus;118;superior temporal gyrus;STG;Gyrus temporalis superior
wm-rh-supramarginal;Supramarginal gyrus;90;supramarginal gyrus;SMG;Gyrus supramarginalis
wm-rh-frontalpole;Frontal pole;38;frontal pole;frp;Polus frontalis
wm-rh-temporalpole;Temporal pole;108;temporal pole;tmp;Polus temporalis
ctx-lh-G_and_S_Insula_ONLY_AVERAGE;Insula;93;INSULA;Ins;Insula
ctx-lh-G_cingulate-Isthmus;Isthmus of cingulate gyrus;145;isthmus of cingulate gyrus;ICgG;Isthmus gyri cinguli
ctx-lh-G_cingulate-Main_part;Cingulate gyrus;141;CINGULATE GYRUS;CgG;Gyrus cingulatus
ctx-lh-G_cuneus;Cuneus cortex;139;cuneus;Cun;Cuneus
ctx-lh-G_frontal_inf-Opercular_part;Opercular part of inferior frontal gyrus;69;opercular part of inferior frontal gyrus (H);OpIFG;Gyrus frontalis inferior, pars opercularis (H)
ctx-lh-G_frontal_inf-Orbital_part;Orbital part of inferior frontal gyrus;70;orbital part of inferior frontal gyrus (H);OrIFG;Gyrus frontalis inferior, pars orbitalis (H)
ctx-lh-G_frontal_inf-Triangular_part;Triangular part of inferior frontal gyrus;68;triangular part of inferior frontal gyrus (H);TrIFG;Gyrus frontalis inferior, pars triangularis (H)
ctx-lh-G_frontal_middle;Middle frontal gyrus;66;middle frontal gyrus;MFG;Gyrus frontalis medius
ctx-lh-G_frontal_superior;Superior frontal gyrus;65;superior frontal gyrus;SFG;Gyrus frontalis superior
ctx-lh-G_frontomarginal;Lateral orbital gyrus;74;lateral orbital gyrus;LOrG;Gyrus orbitalis lateralis
ctx-lh-G_insular_long;Insula;93;INSULA;Ins;Insula
ctx-lh-G_insular_short;Insula;93;INSULA;Ins;Insula
ctx-lh-G_and_S_occipital_inferior;Inferior occipital gyrus;138;inferior occipital gyrus (M);IOG;Gyrus occipitalis inferior (M)
ctx-lh-G_occipital_middle;Occipital gyrus;134;occipital gyrus (M);OG;Gyrus occipitalis (M)
ctx-lh-G_occipital_superior;Superior occipital gyrus;136;superior occipital gyrus (H);SOG;Gyrus occipitalis superior (H)
ctx-lh-G_occipit-temp_lat-Or_fusiform;Fusiform gyrus;121;fusiform gyrus;FuG;Gyrus fusiformis
ctx-lh-G_occipit-temp_med-Lingual_part;Lingual gyrus;140;lingual gyrus;LiG;Gyrus lingualis
ctx-lh-G_occipit-temp_med-Parahippocampal_part;Parahippocampal gyrus;146;PARAHIPPOCAMPAL GYRUS;PHG;Gyrus parahippocampalis
ctx-lh-G_orbital;Orbital gyri complex;73;ORBITAL GYRI;OrG;Gyri orbitales
ctx-lh-G_parietal_inferior-Angular_part;Angular gyrus;91;angular gyrus;AnG;Gyrus angularis
ctx-lh-G_parietal_inferior-Supramarginal_part;Supramarginal gyrus;90;supramarginal gyrus;SMG;Gyrus supramarginalis
ctx-lh-G_parietal_superior;Superior parietal cortex;88;superior parietal lobule;SPL;Lobulus parietalis superior
ctx-lh-G_postcentral;Postcentral gyrus;87;postcentral gyrus;PoG;Gyrus postcentralis
ctx-lh-G_precentral;Precentral gyrus;71;precentral gyrus;PrG;Gyrus precentralis
ctx-lh-G_precuneus;Precuneus cortex;92;precuneus;PCu;Precuneus
ctx-lh-G_rectus;Gyrus rectus;76;gyrus rectus;GRe;Gyrus rectus
ctx-lh-G_subcallosal;Subcallosal area;260;subcallosal area;SCA;Area subcallosa
ctx-lh-G_temporal_inferior;Inferior temporal gyrus;120;inferior temporal gyrus;ITG;Gyrus temporalis inferior
ctx-lh-G_temporal_middle;Middle temporal gyrus;119;middle temporal gyrus;MTG;Gyrus temporalis medius
ctx-lh-G_temp_sup-Lateral_aspect;Superior temporal gyrus;118;superior temporal gyrus;STG;Gyrus temporalis superior
ctx-lh-G_temp_sup-Planum_polare;Superior temporal gyrus;118;superior temporal gyrus;STG;Gyrus temporalis superior
ctx-lh-G_temp_sup-Planum_tempolare;Superior temporal gyrus;118;superior temporal gyrus;STG;Gyrus temporalis superior
ctx-lh-G_and_S_transverse_frontopolar;Transverse frontopolar gyri complex;962901580;TRANSVERSE FRONTOPOLAR GYRI (H);TFPG;Gyrus frontopolaris transversus (H)
ctx-lh-Lat_Fissure-ant_sgt-ramus_horizontal;Anterior horizontal limb of lateral sulcus;50;anterior horizontal limb of lateral sulcus (H);ahls;Ramus anterior horizontalis sulcus lateralis (H)
ctx-lh-Lat_Fissure-ant_sgt-ramus_vertical;Anterior ascending limb of lateral sulcus;49;anterior ascending limb of lateral sulcus (H);aals;Ramus anterior ascendens fissurae lateralis (H)
ctx-lh-Pole_temporal;Temporal pole;108;temporal pole;tmp;Polus temporalis
ctx-lh-S_central_insula;Insula;93;INSULA;Ins;Insula
ctx-lh-S_frontal_inferior;Inferior frontal sulcus;44;inferior frontal sulcus (H);ifrs;Sulcus frontalis inferior (H)
ctx-lh-S_frontal_middle;Middle frontal sulcus;43;middle frontal sulcus (H);mfs;Sulcus frontalis medius (H)
ctx-lh-S_frontal_superior;Superior frontal sulcus;42;superior frontal sulcus (H);sfrs;Sulcus frontalis superior (H)
ctx-lh-S_occipital_anterior;Inferior temporal sulcus;112;inferior temporal sulcus (H);its;Sulcus temporalis inferior (H)
ctx-lh-S_orbital-H_shapped;Orbital sulcus;61;orbital sulcus (H);orbs;Sulcus orbitalis (H)
ctx-lh-S_orbital_lateral;Lateral orbital sulcus;63;lateral orbital sulcus;los;Sulcus orbitalis lateralis
ctx-lh-S_orbital_medial-Or_olfactory;Olfactory sulcus;60;olfactory sulcus;olfs;Sulcus olfactorius
ctx-lh-S_paracentral;Paracentral sulcus;51;paracentral sulcus (H);pcs;Sulcus paracentralis (H)
ctx-lh-S_precentral-Inferior-part;Inferior precentral sulcus;53;inferior precentral sulcus (H);iprs;Sulcus precentralis inferior (H)
ctx-lh-S_precentral-Superior-part;Superior precentral sulcus;52;superior precentral sulcus;sprs;Sulcus precentralis superior
ctx-lh-S_subcentral_ant;Anterior subcentral sulcus;54;anterior subcentral sulcus;ascs;Sulcus subcentralis anterior
ctx-lh-S_suborbital;Superior rostral sulcus;56;superior rostral sulcus (H);sros;Sulcus rostralis superior (H)
ctx-lh-S_temporal_inferior;Inferior temporal sulcus;112;inferior temporal sulcus (H);its;Sulcus temporalis inferior (H)
ctx-lh-S_temporal_superior;Superior temporal sulcus;111;superior temporal sulcus;sts;Sulcus temporalis superior
ctx-lh-S_temporal_transverse;Transverse temporal sulcus;110;transverse temporal sulcus (H);tts;Sulci temporales transversi (H)
ctx-rh-G_and_S_Insula_ONLY_AVERAGE;Insula;93;INSULA;Ins;Insula
ctx-rh-G_cingulate-Isthmus;Isthmus of cingulate gyrus;145;isthmus of cingulate gyrus;ICgG;Isthmus gyri cinguli
ctx-rh-G_cingulate-Main_part;Cingulate gyrus;141;CINGULATE GYRUS;CgG;Gyrus cingulatus
ctx-rh-G_cuneus;Cuneus cortex;139;cuneus;Cun;Cuneus
ctx-rh-G_frontal_inf-Opercular_part;Opercular part of inferior frontal gyrus;69;opercular part of inferior frontal gyrus (H);OpIFG;Gyrus frontalis inferior, pars opercularis (H)
ctx-rh-G_frontal_inf-Orbital_part;Orbital part of inferior frontal gyrus;70;orbital part of inferior frontal gyrus (H);OrIFG;Gyrus frontalis inferior, pars orbitalis (H)
ctx-rh-G_frontal_inf-Triangular_part;Triangular part of inferior frontal gyrus;68;triangular part of inferior frontal gyrus (H);TrIFG;Gyrus frontalis inferior, pars triangularis (H)
ctx-rh-G_frontal_middle;Middle frontal gyrus;66;middle frontal gyrus;MFG;Gyrus frontalis medius
ctx-rh-G_frontal_superior;Superior frontal gyrus;65;superior frontal gyrus;SFG;Gyrus frontalis superior
ctx-rh-G_frontomarginal;Lateral orbital gyrus;74;lateral orbital gyrus;LOrG;Gyrus orbitalis lateralis
ctx-rh-G_insular_long;Insula;93;INSULA;Ins;Insula
ctx-rh-G_insular_short;Insula;93;INSULA;Ins;Insula
ctx-rh-G_and_S_occipital_inferior;Inferior occipital gyrus;138;inferior occipital gyrus (M);IOG;Gyrus occipitalis inferior (M)
ctx-rh-G_occipital_middle;Occipital gyrus;134;occipital gyrus (M);OG;Gyrus occipitalis (M)
ctx-rh-G_occipital_superior;Superior occipital gyrus;136;superior occipital gyrus (H);SOG;Gyrus occipitalis superior (H)
ctx-rh-G_occipit-temp_lat-Or_fusiform;Fusiform gyrus;121;fusiform gyrus;FuG;Gyrus fusiformis
ctx-rh-G_occipit-temp_med-Lingual_part;Lingual gyrus;140;lingual gyrus;LiG;Gyrus lingualis
ctx-rh-G_occipit-temp_med-Parahippocampal_part;Parahippocampal gyrus;146;PARAHIPPOCAMPAL GYRUS;PHG;Gyrus parahippocampalis
ctx-rh-G_orbital;Orbital gyri complex;73;ORBITAL GYRI;OrG;Gyri orbitales
ctx-rh-G_parietal_inferior-Angular_part;Angular gyrus;91;angular gyrus;AnG;Gyrus angularis
ctx-rh-G_parietal_inferior-Supramarginal_part;Supramarginal gyrus;90;supramarginal gyrus;SMG;Gyrus supramarginalis
ctx-rh-G_parietal_superior;Superior parietal cortex;88;superior parietal lobule;SPL;Lobulus parietalis superior
ctx-rh-G_postcentral;Postcentral gyrus;87;postcentral gyrus;PoG;Gyrus postcentralis
ctx-rh-G_precentral;Precentral gyrus;71;precentral gyrus;PrG;Gyrus precentralis
ctx-rh-G_precuneus;Precuneus cortex;92;precuneus;PCu;Precuneus
ctx-rh-G_rectus;Gyrus rectus;76;gyrus rectus;GRe;Gyrus rectus
ctx-rh-G_subcallosal;Subcallosal area;260;subcallosal area;SCA;Area subcallosa
ctx-rh-G_temporal_inferior;Inferior temporal gyrus;120;inferior temporal gyrus;ITG;Gyrus temporalis inferior
ctx-rh-G_temporal_middle;Middle temporal gyrus;119;middle temporal gyrus;MTG;Gyrus temporalis medius
ctx-rh-G_temp_sup-Lateral_aspect;Superior temporal gyrus;118;superior temporal gyrus;STG;Gyrus temporalis superior
ctx-rh-G_temp_sup-Planum_polare;Superior temporal gyrus;118;superior temporal gyrus;STG;Gyrus temporalis superior
ctx-rh-G_temp_sup-Planum_tempolare;Superior temporal gyrus;118;superior temporal gyrus;STG;Gyrus temporalis superior
ctx-rh-G_and_S_transverse_frontopolar;Transverse frontopolar gyri complex;962901580;TRANSVERSE FRONTOPOLAR GYRI (H);TFPG;Gyrus frontopolaris transversus (H)
ctx-rh-Lat_Fissure-ant_sgt-ramus_horizontal;Anterior horizontal limb of lateral sulcus;50;anterior horizontal limb of lateral sulcus (H);ahls;Ramus anterior horizontalis sulcus lateralis (H)
ctx-rh-Lat_Fissure-ant_sgt-ramus_vertical;Anterior ascending limb of lateral sulcus;49;anterior ascending limb of lateral sulcus (H);aals;Ramus anterior ascendens fissurae lateralis (H)
ctx-rh-Pole_temporal;Temporal pole;108;temporal pole;tmp;Polus temporalis
ctx-rh-S_central_insula;Insula;93;INSULA;Ins;Insula
ctx-rh-S_frontal_inferior;Inferior frontal sulcus;44;inferior frontal sulcus (H);ifrs;Sulcus frontalis inferior (H)
ctx-rh-S_frontal_middle;Middle frontal sulcus;43;middle frontal sulcus (H);mfs;Sulcus frontalis medius (H)
ctx-rh-S_frontal_superior;Superior frontal sulcus;42;superior frontal sulcus (H);sfrs;Sulcus frontalis superior (H)
