MM;medial mamillary nucleus;rodent, carnivore, primate;Die::Hy::MM
MP;premamillary nucleus;rodent;Die::Hy::MP
MP;mamillary peduncle;primate;<Null>
MPO;median preoptic nucleus;primate;<Null>
MR;median raphe nucleus;rodent, carnivore, primate;<Null>
MS;supramamillary nucleus;rodent, carnivore, primate;Die::Hy::MS
MTS;middle temporal sulcus;primate;Tel::Cx::MTS
MTT;mamillothalamic tract;rodent, carnivore, primate;Die::MTT
MV;medioventral nucleus of thalamus;rodent, carnivore, primate;Die::Th::MV
N;neostriatum;avian;<Null>
NBOR;nucleus of basal optic root;avian;<Null>
NC;central nucleus of brainstem;rodent, carnivore, primate;<Null>
NCPa;nucleus of commissura pallii;avian;<Null>
NEx;nucleus externus;avian;<Null>
NF;neostriatum frontale;avian;<Null>
NFL;nidopallium frontale, pars laterale;avian;<Null>
NLOT;nucleus of lateral olfactory tract;rodent, carnivore, primate;Tel::NLOT
NPC;nucleus of posterior commissure;rodent, carnivore, primate;<Null>
NPC;nucleus of posterior commissure;avian;<Null>
NS;nucleus of solitary tract;rodent, carnivore, primate;Me::NS
NST;nucleus of stria terminalis;rodent, carnivore, primate;<Null>
NTB;nucleus of trapezoid body;rodent, carnivore, primate;<Null>
NY;neurohypophysis;primate;<Null>
OAN;anterior olfactory nucleus;rodent, carnivore, primate;Tel::OAN
OB;olfactory bulb;rodent, carnivore, primate;Tel::OB
OCX;optic chiasm;rodent, carnivore, primate;Tel::OCX
OFS;orbitofrontal sulcus;primate;Tel::Cx::OFS
OLS;olfactory sulcus;carnivore, primate;Tel::Cx::OFS
OLT;olfactory tubercle;rodent, carnivore, primate;Tel::OLT
OM;tractus occipitomesencephalicus;avian;<Null>
OPT;olivary pretectal nucleus;rodent, carnivore, primate;MB::Tec::OPT
OR;optic radiation;rodent, carnivore, primate;Tel::OR
ORS;orbital sulcus;primate;Tel::Cx::ORS
OT;optic tract;rodent, carnivore, primate;Tel::OT
OTS;occipito-temporal sulcus;primate;Tel::Cx::OTS
Ov;nucleus ovoidalis;avian;<Null>
OVH;organum vasculosum hypothalamus;avian;<Null>
P;corpus pineale;avian;<Null>
Pa;paraventricular nuclei of thalamus;rodent, carnivore, primate;Die::Th::Pa
PA;paleostriatum augmentatum;avian;<Null>
PAG;periaqueductal gray;rodent, carnivore, primate;MB::PAG
PAH;paraventricular nucleus of hypothalamus;rodent, carnivore, primate;Die::Hy::PAH
PAM;periamygdaloid area;rodent, carnivore, primate;Tel::Cx::PAM
PASB;parasubiculum;rodent, carnivore, primate;Tel::Cx::PASB
PB;parabrachial nucleus;rodent, carnivore, primate;<Null>
PBG;parabigeminal nucleus;rodent, carnivore, primate;<Null>
